id,title,description,created_by,category,location_add,gps_coord,photo_url,start_datetime,end_datetime,tags,age_limit,status,tickets
1,Introduction to AI Programming with Python,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",11,Corporate,"187 Liverpool Street, Sydney NSW","lat: -33.8771118, lng: 151.2114875",https://images.unsplash.com/photo-1629904869392-ae2a682d4d01?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1752&q=80,2022-12-18T14:00,2022-12-18T17:00,"photography, blogging, postaday",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
2,Snyk Event,"Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",4,Fundraising,"The Entertainment Quarter, Lang Road, Moore Park NSW","lat: -33.8947654, lng: 151.2270419",https://images.unsplash.com/photo-1556761175-5973dc0f32e7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1932&q=80,2022-12-20T15:00,2022-12-20T20:00,"food, long-reads, postaday, life, technology",18,Ticket Available,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
3,Build.io Test,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",2,Conferences and Workshops,"Sydney Opera House, Sydney NSW","lat: -33.8567844, lng: 151.2152967",https://images.unsplash.com/photo-1563986768609-322da13575f3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-29T03:00,2022-12-29T07:00,"food, postaday",0,Ticket Available,"[{""ticket_type"":""Gold"",""total_number"":""5"",""price"":""200""},{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
4,Intro to Data Analytics: Tableau Basics,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",8,Conferences and Workshops,"Mable Technologies Pty Ltd, Kent Street, Sydney NSW","lat: -33.8734244, lng: 151.2049084",https://images.unsplash.com/photo-1515187029135-18ee286d815b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-10T10:00,2023-01-10T12:00,"entertainment, art, technology",18,Sold Out,"[{""ticket_type"":""VIP"",""total_number"":""0"",""price"":""100"",""sold"":""200""},{""ticket_type"":""Standing"",""total_number"":""0"",""price"":""50"",""sold"":""100""}]"
5,IOTA Course for Managers,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",1,Corporate,"128 Banks Avenue, Eastgardens NSW","lat: -33.9432563, lng: 151.2230953",https://images.unsplash.com/photo-1531058020387-3be344556be6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-18T14:00,2022-12-18T17:00,"entertainment, technology",22,Sold Out,"[{""ticket_type"":""Standing"",""total_number"":""0"",""price"":""50"",""sold"":""100""}]"
6,MS Excel Macros and VBA 1-Day Course,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",10,Conferences and Workshops,"University of Technology Sydney, Broadway, Ultimo NSW","lat: -33.8840838, lng: 151.2012416",https://images.unsplash.com/photo-1580894896813-652ff5aa8146?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-10T10:00,2023-01-10T12:00,"technology, humor, memorial-day, food",22,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
7,"Android Studio Taster Session, Create an app in 1 Hour","Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",8,Conferences and Workshops,"UNSW Sydney, Sydney NSW","lat: -33.917347, lng: 151.2312675",https://images.unsplash.com/photo-1607798748738-b15c40d33d57?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-09-10T10:00,2022-09-10T12:00,"technology, food, travel, entertainment",18,Finished,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
8,Unlocking value through data products,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",12,Networking,"Sydney University, Camperdown NSW","lat: -33.8851591, lng: 151.1800997",https://images.unsplash.com/photo-1580894742597-87bc8789db3d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-08-10T14:00,2022-08-10T16:00,"blogging, life",0,Finished,"[{""ticket_type"":""Gold"",""total_number"":""5"",""price"":""200""},{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
9,SQL for Data Analysis,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",4,Conferences and Workshops,"565 George Street, Sydney NSW","lat: -33.8765789, lng: 151.2058274",https://images.unsplash.com/photo-1504639725590-34d0984388bd?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2022-07-12T18:00,2022-07-12T20:00,"blogging, life, long-reads",0,Finished,"[{""ticket_type"":""VIP"",""total_number"":""200"",""price"":""100""},{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
10,IBMs Quantum Computers Programming,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",9,Hackathons,"Atlassian, George Street, Sydney NSW","lat: -33.8682403, lng: 151.2065887",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-04-12T07:00,2023-04-12T10:00,"photography, blogging, postaday",0,Postponed,"[{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
11,Digital Accessibility Experts Live,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",6,Corporate,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-08T17:00,2022-12-09T17:00,"food, long-reads, postaday, life, technology",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
12,Introduction to Java & Beginner Friendly Course,"Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",19,Corporate,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1581089781785-603411fa81e5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-11-25T23:00,2022-11-26T12:00,"food, postaday",0,Postponed,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
13,Machine Learning at Scale with Sharechat,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",4,Conferences and Workshops,"Google Workplace 6, Pirrama Road, Pyrmont NSW","lat: -33.866489, lng: 151.1958561",https://images.unsplash.com/photo-1543242594-c8bae8b9e708?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-10T10:00,2023-01-10T12:00,"entertainment, art, technology",18,Cancelled,"[{""ticket_type"":""Gold"",""total_number"":""5"",""price"":""200""},{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
14,Data Science Connect,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",20,Conferences and Workshops,"Luna Park, Olympic Dr, Milsons Point NSW","lat: -33.8476987, lng: 151.2098382",https://images.unsplash.com/photo-1591439657848-9f4b9ce436b9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1902&q=80,2023-01-10T10:00,2023-01-10T12:00,"entertainment, technology",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""200"",""price"":""100""},{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
15,Introduction to Cyber Security,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",7,Virtual,"800 Parramatta Road, Lewisham NSW","lat: -33.8902453, lng: 151.1463048",https://images.unsplash.com/photo-1580983693438-d70af71c08ef?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1742&q=80,2022-10-25T20:00,2022-10-26T07:00,"technology, humor, memorial-day, food",22,Cancelled,"[{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
16,AWS Machine Learning Specialty,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.
",11,Conferences and Workshops,"666 Crown Street, Surry Hills NSW","lat: -33.8913465, lng: 151.2131014",https://images.unsplash.com/photo-1557804500-7a58fbcd4d1a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2023-02-10T11:00,2023-02-11T13:00,"technology, food, travel, entertainment",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""1000""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""800""},{""ticket_type"":""Silver"",""total_number"":""300"",""price"":""500""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""150"",""price"":""90""}]"
17,Hospitality Solution Solution,"Morbi laoreet lobortis ante, vel lobortis nulla condimentum eu. Aliquam condimentum, mi sed dictum aliquet, ex sem finibus ligula, nec suscipit nisl felis nec turpis. Curabitur a dui vel eros dictum pharetra sit amet sed justo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nunc condimentum sem sit amet ipsum porta, nec suscipit purus laoreet. Donec aliquam mauris in eleifend venenatis. Morbi fringilla fringilla tincidunt.",7,Festivals and Fairs,"808 Anzac Parade, Maroubra NSW","lat: -33.9388508, lng: 151.2392043",https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-20T09:00,2023-01-20T13:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""Silver"",""total_number"":""5"",""price"":""100""}]"
18,AL & DeepTech,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",2,Networking,"East Village Shopping Centre, Defries Avenue, Zetland NSW","lat: -33.9055499, lng: 151.2128803",https://images.unsplash.com/photo-1580983693000-5654250f64d1?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-18T14:00,2022-12-18T17:00,"photography, blogging, postaday",18,Sold Out,"[{""ticket_type"":""Gold"",""total_number"":""0"",""price"":""200"",""sold"":""50""},{""ticket_type"":""Silver"",""total_number"":""0"",""price"":""100"",""sold"":""50""}]"
19,Statistics for Data Analyst,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",15,Networking,"139 Macquarie Street, Sydney NSW","lat: -33.8644447, lng: 151.2124773",https://images.unsplash.com/photo-1581091872370-1c203d690c43?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-11-20T23:00,2022-11-21T12:00,"food, long-reads, postaday, life, technology",22,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""200"",""price"":""100""},{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
20,How to be a boss at TypeScript,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",17,Hackathons,"Aquarium, Sydney Institute of Marine Science, Mosman NSW","lat: -33.838896, lng: 151.2548852",https://images.unsplash.com/photo-1552664730-d307ca884978?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-18T14:00,2022-12-18T17:00,"photography, memorial-day",0,Cancelled,"[{""ticket_type"":""Standing"",""total_number"":""10"",""price"":""50""}]"
21,Michael Buble HIGHER Tour,"Multi-award-winning, multi-Platinum-selling global superstar Michael Bublé will make a welcome return to Australian stages this November and December. During this 6-city national tour, the sensational Canadian entertainer will perform selections from his hotly anticipated 11th studio album, Higher, and a selection of his original smash hits alongside his trade-mark innovative takes on the great classics. Michael Bublé’s 6-city tour kicks off in Newcastle on Wednesday 30 November before touring to Perth, Melbourne, Adelaide, Sydney and Brisbane. “I have been touring Australia for 20 years now and the fact that you all keep turning up to my shows makes me feel like the luckiest man alive,” Michael Bublé says. “I absolutely adore performing live, being on stage is complete and utter enjoyment for me. It’s a great pleasure and honour for me to be able to show up and be made feel so welcome.”",23,Festivals and Fairs,"Qudos Bank Arena, 19 Edwin Flack Ave, Sydney Olympic Park NSW 2127","lat: -33.8442993, lng: 151.0598951",https://www.qudosbankarena.com.au/getmedia/e1738d56-e453-420d-8742-586d7cc4035c/Buble_1200x628_aus.jpg.aspx?width=1200&height=628&ext=.jpg,2022-12-18T19:00,2022-12-18T23:00,"entertainment, music, life",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""500""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""Standing"",""total_number"":""200"",""price"":""150""}]"
22,Book Fair Australia,"Welcome traditionally and independently published authors alike to share their diverse range through dedicated stalls, discussion panels, workshops and more. A thrilling weekend fit for any book lover, come by with friends and family to get your books signed and explore a world of storytelling right in Sydney",23,Festivals and Fairs,"128 Banks Avenue, Eastgardens NSW","lat: -33.9432563, lng: 151.2230953",https://images.unsplash.com/photo-1607798748738-b15c40d33d57?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-25T09:00,2023-01-25T20:00,"blogging, humor, life, entertainment",0,Ticket Available,"[{""ticket_type"":""Early Birds"",""total_number"":""100"",""price"":""50""},{""ticket_type"":""General"",""total_number"":""400"",""price"":""70""}]"
23,Esports Tournament,"Come join in a Friendly Esports tournament in various online game like PUBG , CS-GO and many more …. , This tournament will be a round robin tournament each team will able to play  4 games against each time. Winners will get excited coupons , giftcards and  many more ",23,Sports and Tournaments,"666 Crown Street, Surry Hills NSW","lat: -33.8913465, lng: 151.2131014",https://images.unsplash.com/photo-1581089781785-603411fa81e5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-10T16:00,2022-12-17T23:00,"long-reads, life, postaday",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""500""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""}]"
24,Data Science Conference,This conference will drive new path in data science world and also provide more assitance towards data science research.,23,Conferences and Workshops,"Aquarium, Sydney Institute of Marine Science, Mosman NSW","lat: -33.838896, lng: 151.2548852",https://images.unsplash.com/photo-1557804500-7a58fbcd4d1a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2022-07-05T10:00,2022-07-05T17:00,"food, long-reads ",0,Finished,"[{""ticket_type"":""Early Birds"",""total_number"":""200"",""price"":""100""},{""ticket_type"":""General"",""total_number"":""300"",""price"":""150""}]"
