id,title,description,created_by,category,location_add,gps_coord,photo_url,start_datetime,end_datetime,tags,age_limit,status,tickets
25,Music Festival," This is our biggest lineup to date, across more venues, and with more of Australia's best artists in Thirroul than we have ever had before",23,Festivals and Fairs,"UNSW Sydney, Sydney NSW","lat: -33.917347, lng: 151.2312675",https://images.unsplash.com/photo-1581091872370-1c203d690c43?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-03-02T15:00,2022-03-02T23:00,"blogging, humor, life, entertainment",0,Finished,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""500""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""150""},{""ticket_type"":""Silver"",""total_number"":""200"",""price"":""200""}]"
26,Food and Drink Discovery,A journey of Discovery at our first trade show event for the foodservice and licensed trades since the pandemic,23,Food and Drink,"128 Banks Avenue, Eastgardens NSW","lat: -33.9432563, lng: 151.2230953",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-11-30T09:00,2022-11-30T20:00,"entertainment, technology",22,Cancelled,"[{""ticket_type"":""General"",""total_number"":""500"",""price"":""75""}]"
27,Get Investor Ready ,Insider insights on how to prepare your startup or scale up for investment to help you confidently approach investors and have everything you need to,4,Corporate,"800 Parramatta Road, Lewisham NSW","lat: -33.8902453, lng: 151.1463048",https://images.unsplash.com/photo-1563986768609-322da13575f3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-27T15:00,2022-12-27T17:00,"technology, postday",18,Ticket Available,"[{""ticket_type"":""Early Birds"",""total_number"":""100"",""price"":""75""},{""ticket_type"":""Front Row"",""total_number"":""100"",""price"":""250""},{""ticket_type"":""General"",""total_number"":""300"",""price"":""150""}]"
28,Coummunity Fundraising,"Over the past couple of years of lockdown and uncertainty, we’ve seen how charities have been a lifeline to those in our communities who so vitally depend on their support – all at a time when charities have been facing their own funding crisis.Longer lead times with trusts and foundations and the suspension of in-person fundraising events all contributed to this deficit in income, but many organisations rose to the challenge and thought outside the box.",20,Fundraising,"UNSW Sydney, Sydney NSW","lat: -33.917347, lng: 151.2312675",https://images.unsplash.com/photo-1515187029135-18ee286d815b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-19T11:00,2023-01-19T16:00,"food, long-reads ",0,Sold Out,"[{""ticket_type"":""General"",""total_number"":""0"",""price"":""25"",""sold"":""500""}]"
29,Virtual Software Development Conference,"Join a software development conference Build Stuff 2022, It's more than a software development conference... ,It's 3-days filled with fun, value-packed ideas, and career opportunities that could potentially change this world - AND YOURS - for the better.",11,Virtual,"Sydney Opera House, Sydney NSW","lat: -33.8567844, lng: 151.2152967",https://images.unsplash.com/photo-1531058020387-3be344556be6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-15T10:00,2022-12-15T19:00,"technology, entertainment",0,Ticket Available,"[{""ticket_type"":""General"",""total_number"":""500"",""price"":""0""}]"
30,Anime & Manga club,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pellentesque mauris vitae augue ornare tempor. Nam est massa, mollis eget mattis ut, tristique luctus nunc. Aliquam at finibus ligula, non convallis orci. Etiam gravida tortor vitae massa varius iaculis. Integer sagittis urna dui, id molestie augue viverra sit amet. Donec venenatis enim ut euismod blandit. Duis ut erat dui. Cras vel risus nisl. Maecenas vitae lacus quis nisi pulvinar pharetra et et mauris. Pellentesque arcu lorem, tempus at ligula nec, euismod dapibus dolor. Nullam vitae euismod metus, id auctor ante. Nullam in lorem justo.",7,Fandom,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1580894896813-652ff5aa8146?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-14T19:00,2023-01-14T22:00,"technology, travel, entertainment",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""50"",""price"":""150""},{""ticket_type"":""Gold"",""total_number"":""50"",""price"":""100""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""50""}]"
31,Holloween Food and Drink Tasting,"There will be music, a menu with voting cards for everything you taste including drinks ! You must be 18  or older no exceptions.",1,Food and Drink,"Sydney University, Camperdown NSW","lat: -33.8851591, lng: 151.1800997",https://images.unsplash.com/photo-1580894742597-87bc8789db3d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-07T11:00,2023-01-07T21:00,"food, entertainment",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""250""},{""ticket_type"":""Gold"",""total_number"":""150"",""price"":""200""},{""ticket_type"":""General"",""total_number"":""350"",""price"":""100""}]"
32,Buisness Breakfast Networking,We will provides a structured environment for the development and exchange of quality business referrals and word-of-mouth advertising,15,Networking,"565 George Street, Sydney NSW","lat: -33.8765789, lng: 151.2058274",https://images.unsplash.com/photo-1504639725590-34d0984388bd?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2022-09-18T09:00,2022-09-18T11:00,"technology, long-reads, life, postaday",0,Finished,"[{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
33,Metaverse Tech Hackathon,"Vestibulum nec erat porttitor, faucibus ante ac, viverra nisl. Donec vitae lorem diam. Etiam eget lorem nec erat tempor tempor ac sit amet diam. Nullam rutrum justo id quam varius tempus. Nam vitae dignissim lacus, ac sodales enim. Sed molestie rhoncus augue, sit amet accumsan orci euismod at. Etiam pretium dolor non neque aliquet dictum eget sed lectus.",17,Hackathons,"Luna Park, Olympic Dr, Milsons Point NSW","lat: -33.8476987, lng: 151.2098382",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-11-27T10:00,2022-11-30T17:00,technology,0,Sold Out,"[{""ticket_type"":""Early Birds"",""total_number"":""0"",""price"":""250"",""sold"":""100""},{""ticket_type"":""General"",""total_number"":""0"",""price"":""100"",""sold"":""350""}]"
34,Mascot Bowling Tournament,"This is a bowling club tournament ,The tournament will be a double-knockout tournament, which is a process of elimination whereby the loser of two match-up is eliminated from the tournament",10,Sports and Tournaments,"800 Parramatta Road, Lewisham NSW","lat: -33.8902453, lng: 151.1463048",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-10T09:00,2022-12-20T20:00,"long-reads, life",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
35,Investor for Buisness,Insights for the buisness developmet that going to enhance buisness strategy for small buisness or large scale buisness.,7,Corporate,"East Village Shopping Centre, Defries Avenue, Zetland NSW","lat: -33.9055499, lng: 151.2128803",https://images.unsplash.com/photo-1591439657848-9f4b9ce436b9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1902&q=80,2022-11-28T09:00,2022-11-28T12:00,"food, postaday",18,Sold Out,"[{""ticket_type"":""VIP"",""total_number"":""0"",""price"":""500"",""sold"":""100""},{""ticket_type"":""Gold"",""total_number"":""0"",""price"":""250"",""sold"":""200""},{""ticket_type"":""General"",""total_number"":""0"",""price"":""200"",""sold"":""250""}]"
36,Fundraisin for Cancer Council,"This event we will fundrase money for help people whose lives been affected by cancer.For us, Community Fundraisers are truly inspirational people with the passion and energy to create this event to help us achieve a cancer free future.",2,Fundraising,"139 Macquarie Street, Sydney NSW","lat: -33.8644447, lng: 151.2124773",https://images.unsplash.com/photo-1580983693438-d70af71c08ef?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1742&q=80,2023-01-23T09:00,2023-01-23T16:00,"entertainment, technology",0,Ticket Available,"[{""ticket_type"":""General"",""total_number"":""500"",""price"":""25""}]"
37,Virtual Security Fair,This is a vritual conference for security program and also make sure to teach 3GPP models for 5g and new upcoming netwroking research.,15,Virtual,"800 Parramatta Road, Lewisham NSW","lat: -33.8902453, lng: 151.1463048",https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-15T09:00,2023-01-15T20:00,"technology, entertainment",0,Ticket Available,"[{""ticket_type"":""Early Birds"",""total_number"":""250"",""price"":""20""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""50""}]"
38,Food Club,"Fusce lobortis purus non mi molestie, sit amet tempor felis ultricies. Duis et nunc quis augue congue eleifend. Donec tincidunt mauris et porta sollicitudin. Aliquam ipsum sem, condimentum ut dolor sit amet, aliquet pellentesque nulla. Donec non imperdiet felis, iaculis molestie erat. Vestibulum et placerat augue. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Praesent libero dolor, interdum varius sagittis in, viverra venenatis sapien. Etiam eget pharetra tortor. Vivamus venenatis nisi quis lectus vulputate, id vestibulum sem sollicitudin. Donec sollicitudin, tellus volutpat porta condimentum, dolor arcu dignissim purus, vitae malesuada diam tortor id massa.",20,Fandom,"Sydney Opera House, Sydney NSW","lat: -33.8567844, lng: 151.2152967",https://images.unsplash.com/photo-1580983693000-5654250f64d1?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-08T11:00,2023-01-08T17:00,"technology, travel, entertainment",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""250""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""200""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
39,Food and Drink Growth summit,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",6,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1552664730-d307ca884978?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-11-30T18:00,2022-11-30T22:00,"food, entertainment",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
40,Quantum Networking,Quantum group of autralia invites you for networking campaign for quantum research tech talks and also free drinks food will be provided.,9,Networking,"Google Workplace 6, Pirrama Road, Pyrmont NSW","lat: -33.866489, lng: 151.1958561",https://images.unsplash.com/photo-1629904869392-ae2a682d4d01?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1752&q=80,2022-10-05T16:00,2022-10-05T21:00,"technology, long-reads, life, postaday",0,Finished,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""250""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""200""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
41,Startup Hackathon,Tech startup invites you to join tech hackathon for the students  to make new ideas for startup project and deveople by new tech stack.,2,Hackathons,"Luna Park, Olympic Dr, Milsons Point NSW","lat: -33.8476987, lng: 151.2098382",https://images.unsplash.com/photo-1556761175-5973dc0f32e7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1932&q=80,2022-12-19T11:00,2022-12-23T14:00,"technology, humor, memorial-day, food",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""350""},{""ticket_type"":""Early Birds"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""General"",""total_number"":""500"",""price"":""200""}]"
42,Tenis internal Sports Tour,"Tenis club of  australia have open tournament for tenis ,anybody can participate in this tournament and win exciting prizes.",8,Sports and Tournaments,"800 Parramatta Road, Lewisham NSW","lat: -33.8902453, lng: 151.1463048",https://images.unsplash.com/photo-1563986768609-322da13575f3?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-10-10T09:00,2022-10-10T17:00,"technology, food, travel, entertainment",18,Finished,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""500""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""Silver"",""total_number"":""500"",""price"":""200""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
43,Buiness Day,Insider insights on how to prepare your startup or scale up for investment and make your any scale buisness upto the market.,10,Corporate,"666 Crown Street, Surry Hills NSW","lat: -33.8913465, lng: 151.2131014",https://images.unsplash.com/photo-1515187029135-18ee286d815b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-16T10:00,2022-12-16T16:00,"blogging, life",0,Sold Out,"[{""ticket_type"":""Early Birds"",""total_number"":""100"",""price"":""50""},{""ticket_type"":""General"",""total_number"":""400"",""price"":""100""}]"
44,Fundraising Medicine Old Care,This is Fundraisin for the old age people care and make sure to provide best medical facilties for their improvement in Health.,11,Fundraising,"808 Anzac Parade, Maroubra NSW","lat: -33.9388508, lng: 151.2392043",https://images.unsplash.com/photo-1531058020387-3be344556be6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-05T11:00,2022-12-05T17:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""General"",""total_number"":""500"",""price"":""25""}]"
45,Tech Conference,This event will comprises of more tech staff from different MNC companies to make aware new gen tech stack and how market in australia is growing.,15,Conferences and Workshops,"187 Liverpool Street, Sydney NSW","lat: -33.8771118, lng: 151.2114875",https://images.unsplash.com/photo-1580894896813-652ff5aa8146?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-01-31T09:00,2023-01-31T16:00,"photography, blogging, postaday",0,Sold Out,"[{""ticket_type"":""VIP"",""total_number"":""0"",""price"":""250"",""sold"":""100""},{""ticket_type"":""Early Birds"",""total_number"":""0"",""price"":""100"",""sold"":""200""},{""ticket_type"":""General"",""total_number"":""0"",""price"":""150"",""sold"":""200""}]"
46, Virtual Mixed Reality cConference,"Era of the upcoming tech as comprises of virtual reality and Mixed reality , also give pathway to become a sucesfull engineer in this stream.",19,Virtual,"The Entertainment Quarter, Lang Road, Moore Park NSW","lat: -33.8947654, lng: 151.2270419",https://images.unsplash.com/photo-1607798748738-b15c40d33d57?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-02-12T10:00,2023-02-12T20:00,"food, long-reads, postaday, life, technology",0,Ticket Available,"[{""ticket_type"":""Early Birds"",""total_number"":""100"",""price"":""50""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""100""}]"
47,Anime Club,"Maecenas vitae metus in ex blandit interdum. Proin mattis malesuada nisl, sit amet commodo leo accumsan a. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Pellentesque placerat volutpat arcu, eget consequat orci facilisis a. Fusce in pulvinar neque. Aenean sit amet venenatis sapien. Quisque a tellus id enim egestas gravida nec et nisl. Nulla sed mi eu tellus tempor laoreet quis at neque. Maecenas et ex fringilla, imperdiet nunc id, tristique arcu. Suspendisse aliquam tellus vel leo ultricies, ut rhoncus neque tempus. In tempus luctus tincidunt. Aliquam fermentum consequat tincidunt. Fusce ut ultrices nisl. Suspendisse congue sollicitudin pulvinar. Integer eget turpis mi.",4,Fandom,"Sydney Opera House, Sydney NSW","lat: -33.8567844, lng: 151.2152967",https://images.unsplash.com/photo-1580894742597-87bc8789db3d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-02-25T12:00,2023-02-25T21:00,"food, postaday",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""300""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""250""},{""ticket_type"":""Silver"",""total_number"":""200"",""price"":""200""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
48,Spring Fair,"This fair comprises of Face painting , Petting Zoo , Art comptition and many more on…",6,Festivals and Fairs,"Mable Technologies Pty Ltd, Kent Street, Sydney NSW","lat: -33.8734244, lng: 151.2049084",https://images.unsplash.com/photo-1504639725590-34d0984388bd?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,2023-01-28T11:00,2023-01-30T17:00,"entertainment, art, technology",0,Sold Out,"[{""ticket_type"":""Early Birds"",""total_number"":""0"",""price"":""20"",""sold"":""250""},{""ticket_type"":""General"",""total_number"":""0"",""price"":""50"",""sold"":""250""}]"
49,Annual Networking Night,"UTS invites you for Annual night for networking , as comprises of free drinks and food , also various speaker from different backgrounds.",2,Networking,"University of Technology Sydney, Broadway, Ultimo NSW","lat: -33.8840838, lng: 151.2012416",https://images.unsplash.com/photo-1519397154350-533cea5b8bff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2022-12-10T16:00,2022-12-10T22:00,"technology, humor, memorial-day, food",18,Postponed,"[{""ticket_type"":""Early Birds"",""total_number"":""150"",""price"":""75""}, {""ticket_type"":""General"",""total_number"":""350"",""price"":""100""}]"
50,Tech Hackathon,Tech startup invites you to join tech hackathon for the students  to develop new project from emerging ideas based on energy resource.,8,Hackathons,"UNSW Sydney, Sydney NSW","lat: -33.917347, lng: 151.2312675",https://images.unsplash.com/photo-1581089781785-603411fa81e5?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,2023-02-09T11:00,2023-02-12T12:00,"technology, food, travel, entertainment",0,Sold Out,"[{""ticket_type"":""Early Birds"",""total_number"":""0"",""price"":""250"",""sold"":""150""},{""ticket_type"":""General"",""total_number"":""0"",""price"":""150"",""sold"":""350""}]"
51,Pubg Tournament,"This is a Esports tournament among teams , it will comprises of free drinks and food . Particpants can also win exiciting prizes.",19,Sports and Tournaments,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1564049489314-60d154ff107d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1183&q=80,2023-01-08T15:00,2023-01-18T15:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
52,Swimming Competition,"This is a Esports tournament among teams , it will comprises of free drinks and food . Particpants can also win exiciting prizes.",23,Sports and Tournaments,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1560090995-01632a28895b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1169&q=80,2023-01-05T09:00,2023-01-05T16:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
53,Boxing Tournament,"This is a Esports tournament among teams , it will comprises of free drinks and food . Particpants can also win exiciting prizes.",20,Sports and Tournaments,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1509563268479-0f004cf3f58b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2022-12-15T15:00,2023-01-15T15:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
54,Chess Tournament,"This is a Esports tournament among teams , it will comprises of free drinks and food . Particpants can also win exiciting prizes.",11,Sports and Tournaments,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1529699211952-734e80c4d42b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1171&q=80,2023-01-11T15:00,2023-01-21T15:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
55,Football Tournament,"This is a Esports tournament among teams , it will comprises of free drinks and food . Particpants can also win exiciting prizes.",7,Sports and Tournaments,"Nine Entertainment Co., Denison Street, North Sydney NSW","lat: -33.8377468, lng: 151.2081782",https://images.unsplash.com/photo-1606925797300-0b35e9d1794e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=881&q=80,2023-02-01T15:00,2023-02-20T15:00,"blogging, life, long-reads",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""200""},{""ticket_type"":""Gold"",""total_number"":""200"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""200"",""price"":""150""}]"
56,Inner West Beer Fest,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",6,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1471421298428-1513ab720a8e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=685&q=80,2022-12-20T09:00,2022-12-25T17:00,"food, entertainment",22,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
57,Hills Food and Wine Festival,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",15,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1552644329-8f92449c1c78?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80,2022-12-26T10:00,2022-12-28T16:00,"food, entertainment",22,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
58,Pop-up Dinner,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",12,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1606697799247-c60745bdf066?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2022-12-22T11:00,2022-12-27T17:00,"food, entertainment",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
59,Whole Plant Cooking,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",20,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1598511796318-7b8256bd2b20?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2023-01-31T09:00,2023-01-31T16:00,"food, entertainment",18,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
60,Lets go Italian,"Range of industry experts at a free Food and Drink Summit for food and Drink ,There will be opportunities to hear from two industry panels, discuss growth opportunities for your business and network with other businesses ",9,Food and Drink,"TPG Telecom, Pacific Highway, North Sydney NSW","lat: -33.8369963, lng: 151.2061006",https://images.unsplash.com/photo-1516685018646-549198525c1b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2023-02-12T10:00,2023-02-12T20:00,"food, entertainment",0,Ticket Available,"[{""ticket_type"":""VIP"",""total_number"":""100"",""price"":""150""},{""ticket_type"":""General"",""total_number"":""250"",""price"":""100""}]"
